start_time,end_time,sleep_type,date,time_slot,duration
02:00:00,02:12:00,1.0,2024-12-22,00:00-03:00,12.0
02:12:00,02:57:00,0.0,2024-12-22,00:00-03:00,45.0
02:57:00,02:59:00,3.0,2024-12-22,00:00-03:00,2.0
02:59:00,03:46:00,1.0,2024-12-22,00:00-03:00,1.0
02:59:00,03:46:00,1.0,2024-12-22,03:00-06:00,46.0
03:46:00,03:55:00,0.0,2024-12-22,03:00-06:00,9.0
03:55:00,04:11:00,1.0,2024-12-22,03:00-06:00,16.0
04:11:00,04:24:00,0.0,2024-12-22,03:00-06:00,13.0
04:24:00,05:07:00,1.0,2024-12-22,03:00-06:00,43.0
05:07:00,05:17:00,0.0,2024-12-22,03:00-06:00,10.0
05:17:00,05:31:00,1.0,2024-12-22,03:00-06:00,14.0
05:31:00,05:38:00,0.0,2024-12-22,03:00-06:00,7.0
05:38:00,06:02:00,1.0,2024-12-22,03:00-06:00,22.0
05:38:00,06:02:00,1.0,2024-12-22,06:00-09:00,2.0
06:02:00,06:17:00,2.0,2024-12-22,06:00-09:00,15.0
06:17:00,06:22:00,1.0,2024-12-22,06:00-09:00,5.0
06:22:00,07:21:00,2.0,2024-12-22,06:00-09:00,59.0
07:21:00,07:50:00,1.0,2024-12-22,06:00-09:00,29.0
00:56:00,01:08:00,1.0,2024-12-23,00:00-03:00,12.0
01:08:00,01:41:00,0.0,2024-12-23,00:00-03:00,33.0
01:41:00,02:03:00,1.0,2024-12-23,00:00-03:00,22.0
02:03:00,02:08:00,2.0,2024-12-23,00:00-03:00,5.0
02:08:00,02:18:00,1.0,2024-12-23,00:00-03:00,10.0
02:18:00,02:26:00,2.0,2024-12-23,00:00-03:00,8.0
02:26:00,02:36:00,1.0,2024-12-23,00:00-03:00,10.0
02:36:00,02:58:00,0.0,2024-12-23,00:00-03:00,22.0
02:58:00,02:59:00,3.0,2024-12-23,00:00-03:00,1.0
02:59:00,03:23:00,1.0,2024-12-23,00:00-03:00,1.0
02:59:00,03:23:00,1.0,2024-12-23,03:00-06:00,23.0
03:23:00,03:29:00,2.0,2024-12-23,03:00-06:00,6.0
03:29:00,03:56:00,1.0,2024-12-23,03:00-06:00,27.0
03:56:00,04:02:00,0.0,2024-12-23,03:00-06:00,6.0
04:02:00,04:38:00,1.0,2024-12-23,03:00-06:00,36.0
04:38:00,04:50:00,2.0,2024-12-23,03:00-06:00,12.0
04:50:00,05:01:00,1.0,2024-12-23,03:00-06:00,11.0
05:01:00,05:09:00,2.0,2024-12-23,03:00-06:00,8.0
05:09:00,05:20:00,1.0,2024-12-23,03:00-06:00,11.0
05:20:00,05:39:00,2.0,2024-12-23,03:00-06:00,19.0
05:39:00,06:33:00,1.0,2024-12-23,03:00-06:00,21.0
05:39:00,06:33:00,1.0,2024-12-23,06:00-09:00,33.0
06:33:00,06:44:00,2.0,2024-12-23,06:00-09:00,11.0
06:44:00,07:04:00,1.0,2024-12-23,06:00-09:00,20.0
07:04:00,07:05:00,3.0,2024-12-23,06:00-09:00,1.0
07:05:00,07:20:00,1.0,2024-12-23,06:00-09:00,15.0
07:20:00,07:30:00,2.0,2024-12-23,06:00-09:00,10.0
07:30:00,07:47:00,1.0,2024-12-23,06:00-09:00,17.0
07:47:00,07:48:00,3.0,2024-12-23,06:00-09:00,1.0
07:48:00,08:00:00,1.0,2024-12-23,06:00-09:00,12.0
00:45:00,00:52:00,1.0,2024-12-24,00:00-03:00,7.0
00:52:00,01:21:00,0.0,2024-12-24,00:00-03:00,29.0
01:21:00,02:26:00,1.0,2024-12-24,00:00-03:00,65.0
02:26:00,02:44:00,0.0,2024-12-24,00:00-03:00,18.0
02:44:00,02:59:00,1.0,2024-12-24,00:00-03:00,15.0
02:59:00,03:08:00,0.0,2024-12-24,00:00-03:00,1.0
02:59:00,03:08:00,0.0,2024-12-24,03:00-06:00,8.0
03:08:00,03:15:00,1.0,2024-12-24,03:00-06:00,7.0
03:15:00,03:48:00,2.0,2024-12-24,03:00-06:00,33.0
03:48:00,03:58:00,1.0,2024-12-24,03:00-06:00,10.0
03:58:00,04:17:00,0.0,2024-12-24,03:00-06:00,19.0
04:17:00,04:32:00,1.0,2024-12-24,03:00-06:00,15.0
04:32:00,05:17:00,2.0,2024-12-24,03:00-06:00,45.0
05:17:00,05:48:00,1.0,2024-12-24,03:00-06:00,31.0
