start_time,end_time,sleep_type
2024-12-23T23:45:00.0,2024-12-23T23:52:00.0,1.0
2024-12-23T23:52:00.0,2024-12-24T00:21:00.0,0.0
2024-12-24T00:21:00.0,2024-12-24T01:26:00.0,1.0
2024-12-24T01:26:00.0,2024-12-24T01:44:00.0,0.0
2024-12-24T01:44:00.0,2024-12-24T01:59:00.0,1.0
2024-12-24T01:59:00.0,2024-12-24T02:08:00.0,0.0
2024-12-24T02:08:00.0,2024-12-24T02:15:00.0,1.0
2024-12-24T02:15:00.0,2024-12-24T02:48:00.0,2.0
2024-12-24T02:48:00.0,2024-12-24T02:58:00.0,1.0
2024-12-24T02:58:00.0,2024-12-24T03:17:00.0,0.0
2024-12-24T03:17:00.0,2024-12-24T03:32:00.0,1.0
2024-12-24T03:32:00.0,2024-12-24T04:17:00.0,2.0
2024-12-24T04:17:00.0,2024-12-24T04:48:00.0,1.0
2024-12-24T04:48:00.0,2024-12-24T05:04:00.0,0.0
2024-12-24T05:04:00.0,2024-12-24T05:36:00.0,1.0
2024-12-24T05:36:00.0,2024-12-24T06:00:00.0,2.0
2024-12-24T06:00:00.0,2024-12-24T06:11:00.0,1.0
2024-12-24T06:11:00.0,2024-12-24T06:20:00.0,2.0
2024-12-24T06:20:00.0,2024-12-24T07:02:28.0,1.0
